floats
1902347
1902593
1902594
1902602
1902603
1902605
1902651
1902660
1902683
1902692
1902698
1902751
2902753
2902754
2902755
2902756
2902822
2902823
2902828
2902878
2902882
2902885
2902886
2902913
2902914
2902936
2903783
2903794
2903797
2903863
2903878
2903884
2903902
2903904
3901496
3901497
3901498
3901530
3901531
3901578
3901580
3901581
3901582
3901583
3901584
3901586
3902120
3902121
3902122
3902123
3902124
3902125
3902471
3902472
3902488
3902490
3902498
3902589
3902683
3902684
3902688
4901802
4901803
4901804
4901805
4901806
4902602
4902630
4902684
4902685
4902686
4902687
4902688
4903026
4903587
4903619
4903634
4903643
4903657
4903659
4903661
4903662
4903685
4903711
4903760
4903761
4903865
5905023
5905194
5905197
5905198
5905501
5905505
5905519
5905531
5905553
5905555
5905556
5905597
5905598
5905617
5906623
5906624
5906635
5906636
5906645
5906661
5906765
5906766
5906767
5906868
5906970
5906971
5906972
5906981
5906990
5907047
5907054
5907055
5907088
5907150
5907194
5907206
5907212
6901004
6901032
6901151
6901152
6901174
6901175
6901180
6901181
6901182
6901183
6901437
6901439
6901440
6901472
6901473
6901474
6901475
6901480
6901481
6901482
6901483
6901484
6901485
6901486
6901489
6901490
6901491
6901492
6901493
6901494
6901495
6901496
6901510
6901511
6901512
6901513
6901514
6901515
6901516
6901517
6901518
6901519
6901520
6901521
6901522
6901523
6901524
6901525
6901526
6901527
6901528
6901529
6901573
6901574
6901575
6901576
6901577
6901578
6901579
6901580
6901581
6901582
6901583
6901584
6901585
6901600
6901605
6901646
6901647
6901648
6901649
6901650
6901651
6901652
6901653
6901654
6901655
6901656
6901657
6901658
6901659
6901660
6901687
6901688
6901689
6901764
6901765
6901766
6901767
6901768
6901769
6901770
6901771
6901772
6901773
6901774
6901775
6901776
6901860
6901861
6901862
6901863
6901864
6901865
6901866
6902546
6902547
6902666
6902667
6902668
6902669
6902670
6902671
6902700
6902701
6902732
6902733
6902734
6902735
6902736
6902737
6902738
6902739
6902740
6902742
6902743
6902826
6902827
6902828
6902829
6902879
6902880
6902896
6902897
6902898
6902899
6902900
6902901
6902902
6902903
6902904
6902905
6902906
6902907
6902908
6902909
6902953
6902954
6902967
6902968
6902969
6903024
6903025
6903026
6903069
6903070
6903091
6903093
6903094
6903124
6903125
6903126
6903127
6903128
6903129
6903130
6903197
6903235
6903240
6903247
6903249
6903250
6903549
6903550
6903551
6903552
6903553
6903554
6903555
6903574
6903575
6903576
6903577
6903578
6903579
6903590
6903591
6903592
6903706
6903805
6903823
6903825
6903828
6903874
6903875
6903876
6903877
6903878
6904113
6904116
6904117
6904118
6904182
6904183
6904184
6904185
6904186
6904187
6904188
6904189
6904226
6904235
6904240
6904241
6990504
6990505
6990528
6990580
6990588
6990636
6990638
6990668
6990670
6990700
6990727
7900561
7900562
7900579
7900580
7900583
7900584
7900585
7900591
7900592
7900907
7900915
7900918
7900943
7900947
7901006
7901007
7901023
7901028
7901065
7901086
7901106
7901107
7901108
7901124
7901146
7902141
7902142
7902166
7902195
7902198
7902203
7902223
7902275
